"Position","Name","Appearance","MinutesPlayed","Height","Weight","Rating","TotalShots","OutsideBoxShot","SixYardShot","PenaltyYardShot","TotalGoal","OutsideBoxGoal","SixYardGoal","PenaltyYardGoal","TotalDribble","DribbleLost","DribbleWon","Turnovers","Dispossessed","TotalAerialDuel","AerialWon","AerialLost","TotalTackleWon","TotalTackleAttempt","DribbledPast","TotalInterception","FoulAgainst","FoulCommitted","YellowCard","RedCard","Offside","TotalClearance","ShotsBlocked","CrossesBlocked","PassesBlocked","TotalSaves","SixYardSave","PenaltyAreaSave","OutsideBoxSave","TotalPass","AccLongBall","InaccLongBall","AccShortPass","InaccShortPass","TotalKeyPass","LongKeyPass","ShortKeyPass","TotalAssist","CrossAssist","CornerAssist","ThroughBallAssist","FKAssist","ThrowInAssist","OtherAssist","TotalAccCrosses","TotalAccThroughBall","OwnGoal"
"CentreForward",NA,24,1266,0,0,6.37,38,10,3,25,3,0,1,2,20,14,6,53,20,61,19,42,7,14,7,0,38,16,0,0,14,3,0,0,11,0,0,0,0,146,1,1,112,32,6,0,6,1,0,0,1,0,0,0,0,0,0
"CentreForward",NA,17,793,0,0,6.28,23,4,4,15,2,0,1,1,11,6,5,27,8,38,7,31,6,8,2,0,16,6,0,0,8,1,0,1,4,0,0,0,0,92,0,1,72,19,6,0,6,1,0,0,0,0,0,1,0,0,0
"LeftBack",NA,26,2118,170,66,6.46,11,6,0,5,0,0,0,0,21,12,9,14,19,69,36,33,21,36,15,25,8,11,2,1,4,61,6,30,17,0,0,0,0,758,57,89,515,97,17,3,14,2,2,0,0,0,0,0,0,0,0
"LeftBack",NA,37,3315,170,66,6.81,28,16,0,12,2,1,0,1,33,21,12,24,18,74,40,34,38,56,18,70,31,22,1,0,1,88,17,17,29,0,0,0,0,1376,115,161,951,149,40,9,31,4,2,0,0,0,37,1,0,0,0
"LeftBack",NA,20,1591,170,66,6.68,11,5,0,6,0,0,0,0,13,7,6,13,6,43,25,18,29,41,12,23,12,2,1,0,1,42,7,16,21,0,0,0,0,812,29,45,632,106,17,2,15,1,1,1,0,0,0,0,2,0,0
"LeftBack",NA,38,3420,170,66,6.85,19,14,0,5,2,1,0,1,41,24,17,29,29,87,54,33,44,68,24,33,32,17,5,0,7,148,23,37,30,0,0,0,0,1347,137,202,835,173,35,11,24,4,4,0,0,0,0,0,19,0,0
"LeftBack",NA,31,2730,170,66,6.62,17,11,0,6,3,1,0,2,34,23,11,18,10,85,45,40,43,66,23,35,17,16,7,0,2,59,10,16,23,0,0,0,0,1251,67,124,866,194,26,5,21,0,0,0,0,0,0,0,0,0,0
"LeftBack",NA,36,3073,170,66,6.69,21,14,0,7,1,1,0,0,14,9,5,26,20,105,57,48,34,45,11,45,15,20,7,0,3,110,17,7,25,0,0,0,0,1299,98,145,904,152,34,18,16,7,3,1,0,36,0,3,0,0,0
"LeftBack",NA,36,3172,170,66,6.81,19,15,0,4,0,0,0,0,10,6,4,13,9,64,35,29,32,46,14,32,18,13,3,0,0,73,14,6,15,0,0,0,0,1652,119,167,1184,182,58,26,32,8,6,3,0,108,0,1,7,0,1
"RightWinger",NA,14,1072,165,63,6.81,7,2,0,5,2,0,0,2,22,13,9,14,15,11,3,8,26,41,15,10,19,11,2,0,2,10,0,7,13,0,0,0,0,327,10,6,245,66,15,1,14,0,0,0,0,0,0,0,4,0,0
"RightWinger",NA,14,1125,165,63,6.58,10,4,1,5,0,0,0,0,19,9,10,8,22,19,7,12,20,38,18,8,12,10,2,0,1,9,5,9,15,0,0,0,0,274,5,12,189,68,7,1,6,2,1,0,0,0,0,1,0,0,0
"RightWinger",NA,15,795,165,63,6.36,4,1,0,3,0,0,0,0,18,13,5,11,10,12,5,7,17,33,16,11,8,11,0,0,0,7,1,2,12,0,0,0,0,194,3,8,131,52,4,0,4,0,0,0,0,0,0,0,0,0,0
"RightWinger",NA,9,276,165,63,6.42,2,2,0,0,0,0,0,0,6,4,2,2,6,2,0,2,10,12,2,3,3,4,1,0,0,2,0,3,2,0,0,0,0,108,1,5,91,11,9,0,9,2,0,0,1,0,0,1,4,0,0
"RightWinger",NA,16,1217,165,63,6.38,4,0,1,3,1,0,1,0,15,8,7,15,13,14,2,12,26,34,8,10,16,12,1,0,0,12,0,6,24,0,0,0,0,278,4,10,215,49,7,0,7,1,0,0,0,0,0,1,0,0,0
"RightWinger",NA,25,1540,165,63,6.73,18,7,0,11,5,1,0,4,42,17,25,17,14,5,1,4,35,51,16,8,21,13,1,0,1,15,2,7,21,0,0,0,0,477,13,12,374,78,23,0,23,0,0,0,0,0,0,0,0,0,0
"RightWinger",NA,11,510,165,63,6.37,5,2,0,3,0,0,0,0,5,2,3,8,3,5,0,5,13,19,6,3,3,1,0,0,0,9,1,3,8,0,0,0,0,134,3,4,105,22,6,0,6,1,1,0,0,0,0,0,0,0,0
"RightWinger",NA,16,486,165,63,6.08,1,0,0,1,0,0,0,0,8,5,3,7,4,11,2,9,14,17,3,8,7,10,4,0,0,3,1,0,5,0,0,0,0,118,2,10,80,26,2,0,2,0,0,0,0,0,0,0,0,0,0
"CentralMidfield",NA,31,2090,174,68,6.67,33,20,2,11,2,0,0,2,56,18,38,44,42,40,15,25,37,71,34,23,11,13,1,1,0,27,7,5,29,0,0,0,0,970,43,40,747,140,39,12,27,2,2,0,0,0,0,0,3,0,0
"CentralMidfield",NA,36,3071,174,68,6.86,29,18,1,10,4,0,1,3,25,9,16,37,57,72,33,39,102,134,32,38,16,26,5,0,2,48,5,4,34,0,0,0,0,1902,102,102,1411,287,50,15,35,3,2,0,0,36,0,1,0,0,0
"CentralMidfield",NA,29,2327,174,68,6.73,43,29,0,14,3,2,0,1,37,15,22,35,45,42,15,27,62,93,31,14,12,26,4,0,1,21,7,1,36,0,0,0,0,1278,61,59,964,194,43,21,22,1,1,1,0,0,0,0,41,0,0
